english	korean
apple	사과
banana	바나나
water	물
school	학교
book	책
cat	고양이
dog	강아지
sky	하늘
sea	바다
mountain	산
flower	꽃
rain	비
snow	눈
fire	불
moon	달
star	별
house	집
car	자동차
train	기차
station	역
window	창문
chair	의자
desk	책상
friend	친구
morning	아침
night	밤
food	음식
rice	밥
tea	차
coffee	커피
phone	전화
time	시간
music	음악
movie	영화
letter	편지
photo	사진
paper	종이
shoes	신발
eye	눈동자
hand	손
foot	발
ear	귀
mouth	입
heart	마음
power	힘
color	색
name	이름
word	단어
wind	바람
light	빛
road	길
key	열쇠
money	돈
work	일
rest	휴식
cooking	요리
cake	케이크
bread	빵
milk	우유
