kanji	kana	korean
林檎	りんご	사과
バナナ	バナナ	바나나
水	みず	물
学校	がっこう	학교
本	ほん	책
猫	ねこ	고양이
犬	いぬ	강아지
空	そら	하늘
海	うみ	바다
山	やま	산
花	はな	꽃
雨	あめ	비
雪	ゆき	눈
火	ひ	불
月	つき	달
星	ほし	별
家	いえ	집
車	くるま	자동차
電車	でんしゃ	기차
駅	えき	역
窓	まど	창문
椅子	いす	의자
机	つくえ	책상
友達	ともだち	친구
朝	あさ	아침
夜	よる	밤
食べ物	たべもの	음식
ご飯	ごはん	밥
お茶	おちゃ	차
コーヒー	コーヒー	커피
電話	でんわ	전화
時間	じかん	시간
音楽	おんがく	음악
映画	えいが	영화
手紙	てがみ	편지
写真	しゃしん	사진
紙	かみ	종이
靴	くつ	신발
目	め	눈동자
手	て	손
足	あし	발
耳	みみ	귀
口	くち	입
心	こころ	마음
力	ちから	힘
色	いろ	색
名前	なまえ	이름
言葉	ことば	단어
風	かぜ	바람
光	ひかり	빛
道	みち	길
鍵	かぎ	열쇠
お金	おかね	돈
仕事	しごと	일
休み	やすみ	휴식
料理	りょうり	요리
ケーキ	ケーキ	케이크
パン	パン	빵
牛乳	ぎゅうにゅう	우유
